"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
44, 5.747100114820000e-01, -4.751950934859488e-02, -1.997015188534737e+05, 4.803439071046079e+05, -2.484792991926458e+06, -1.883288785684402e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.836470866896164e+06
45, 5.590599775310000e-01, -4.872955796694115e-02, 2.896269232117819e+05, 6.285791616496169e+05, 8.222638794916116e+05, -4.385067319815712e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.753687159010301e+06
46, 5.433599948880000e-01, -4.989683951066199e-02, -6.568698189051257e+05, 7.479277902279492e+05, -4.396641718055511e+05, -4.549635598104283e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.145516734896669e+06
47, 5.276100039480000e-01, -5.101897737545535e-02, -9.644574536211111e+05, 8.443640544179559e+05, 1.034971490167011e+06, -5.846060509705256e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.389227469570730e+06
48, 5.118399858470000e-01, -5.209138375948307e-02, -3.557264480153053e+05, 8.236727290143620e+05, 2.503772606193183e+06, -6.405278385600143e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.937678953074766e+06
49, 4.960500001910000e-01, -5.311153541819326e-02, 6.539629457922615e+05, 2.378772523931304e+05, 5.665324641961657e+06, -3.583666680684088e+03, 0.000000000000000e+00, 0.000000000000000e+00, -4.370928786874718e+06
50, 4.802699983120000e-01, -5.407492053959814e-02, 7.111066157399719e+05, -5.209366570848826e+04, 4.306111672932362e+06, -1.237691209824813e+03, 0.000000000000000e+00, 0.000000000000000e+00, 5.071294036588631e+05
51, 4.645099937920000e-01, -5.497835513414191e-02, -6.686621119713029e+05, 2.724713820651943e+05, 7.058726200890363e+06, -4.233856054458287e+03, 0.000000000000000e+00, 0.000000000000000e+00, 9.328000706101269e+05
52, 4.487800002100000e-01, -5.581859897363720e-02, 9.608730801144948e+05, 1.461410928707763e+05, 3.896828024742727e+06, -2.338838801608915e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.853214565224267e+06
53, 4.331099987030000e-01, -5.659141825851464e-02, 9.623335212451220e+05, 2.411067787771036e+05, 1.516173460404450e+06, -1.972560684662849e+03, 0.000000000000000e+00, 0.000000000000000e+00, -5.482577482722098e+05
