"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         141,      -7.498537584,      -5.706635442,      -5.435495682,      -1.976073485
          0,           0,         142,      -7.522213803,      -5.738783319,      -5.458772083,      -1.999769469
          0,           0,         143,      -7.544448988,      -5.770316689,      -5.482398423,      -2.022026993
          0,           0,         144,      -7.565453591,      -5.801182336,      -5.506437419,      -2.043055329
          0,           0,         145,      -7.585461413,      -5.831329311,      -5.530941791,      -2.063087189
          0,           0,         146,      -7.604714677,      -5.860713015,      -5.555954619,      -2.082363869
          0,           0,         147,       -7.62345139,      -5.889298219,      -5.581510216,      -2.101122632
          0,           0,         148,      -7.641895631,      -5.917061962,      -5.607634885,       -2.11958705
          0,           0,         149,      -7.660251606,      -5.943997165,      -5.634348261,      -2.137960985
          0,           0,         150,      -7.678700196,      -5.970117429,      -5.661664028,      -2.156425118
          0,           0,         151,      -7.697398038,      -5.995457434,      -5.689589846,       -2.17513601
          0,           0,         152,      -7.716478115,      -6.020067845,      -5.718126197,      -2.194226674
          0,           0,         153,      -7.736051505,      -6.044009659,      -5.747265586,      -2.213808307
          0,           0,         154,      -7.756210045,      -6.067354433,      -5.776992558,      -2.233972895
          0,           0,         155,      -7.777028868,      -6.090185145,      -5.807284088,      -2.254795701
          0,           0,         156,      -7.798569094,      -6.112596802,      -5.838109806,      -2.276337915
          0,           0,         157,      -7.820879574,      -6.134692102,      -5.869431272,       -2.29864845
          0,           0,         158,      -7.843998901,      -6.156577866,      -5.901201668,      -2.321765936
          0,           0,         159,      -7.867957281,      -6.178361099,      -5.933365067,      -2.345720587
          0,           0,         160,      -7.892778086,        -6.2001467,      -5.965855936,      -2.370535768
          0,           0,         161,      -7.918478661,      -6.222035502,      -5.998598879,      -2.396228795
          0,           0,         162,       -7.94507107,      -6.244122933,       -6.03150879,      -2.422811703
          0,           0,         163,      -7.972561904,      -6.266496096,      -6.064491286,       -2.45029107
          0,           0,         164,      -8.000952004,      -6.289231027,      -6.097443826,      -2.478667766
