"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.220525451901032e+00, 3.484946251447678e+02, 3.110732808040968e+01, 2.842098524019528e+05
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.214743164039217e+00, 3.490701670265234e+02, 3.029256706870110e+01, 2.830408132538782e+05
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.208841406137226e+00, 3.496230526834479e+02, 2.944013054962105e+01, 2.818459431858124e+05
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.202831042856972e+00, 3.501627948768357e+02, 2.854802066406629e+01, 2.806283453464787e+05
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.196693148538827e+00, 3.506784560979258e+02, 2.761206610030797e+01, 2.793831951721656e+05
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.190451439925208e+00, 3.511780272369917e+02, 2.663048403537671e+01, 2.781161690741028e+05
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.184087459855470e+00, 3.516497992448261e+02, 2.559855490043065e+01, 2.768224703851030e+05
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.177619641207962e+00, 3.520994473230172e+02, 2.451451762400018e+01, 2.755064823438982e+05
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.171056723689473e+00, 3.525151191509595e+02, 2.337320215290154e+01, 2.741690504154155e+05
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.164485650701576e+00, 3.529109816662320e+02, 2.217333508528369e+01, 2.728295324705308e+05
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.157846349883826e+00, 3.532807685238612e+02, 2.091031611065381e+01, 2.714749208844843e+05
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.150747508304386e+00, 3.536278613076108e+02, 1.958124206431877e+01, 2.700243374515165e+05
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.142744517693864e+00, 3.539269998056002e+02, 1.818174144565309e+01, 2.683836313656421e+05
53, 4.331099987030000e-01, -5.659141825851464e-02, 1.134776477192311e+00, 3.541645548387168e+02, 1.670697824595306e+01, 2.667466902522198e+05
54, 4.174999892710000e-01, -5.729416860686566e-02, 1.129508352822719e+00, 3.543390229431219e+02, 1.515469794632961e+01, 2.656649986510222e+05
55, 4.019699990750000e-01, -5.792324246601335e-02, 1.129186563692588e+00, 3.545023250280569e+02, 1.352331565593302e+01, 2.656071042652373e+05
56, 3.865399956700000e-01, -5.847520956655861e-02, 1.131180205856535e+00, 3.546775736625528e+02, 1.181028966652307e+01, 2.660300896635067e+05
57, 3.712300062180000e-01, -5.894684318665333e-02, 1.124991939001998e+00, 3.548493520074725e+02, 1.001031269053993e+01, 2.647597210221698e+05
58, 3.560400009160000e-01, -5.933561549045978e-02, 1.098452467582230e+00, 3.547835943265175e+02, 8.114431440276881e+00, 2.592674293158951e+05
59, 3.409900069240000e-01, -5.963847719943702e-02, 1.055617358334874e+00, 3.540847907923488e+02, 6.115493119645790e+00, 2.503894896297283e+05
60, 3.261100053790000e-01, -5.985254444802346e-02, 1.022754092413618e+00, 3.531267474450906e+02, 4.023838844801420e+00, 2.435705458799658e+05
61, 3.113999962810000e-01, -5.997565198183213e-02, 1.010543279582068e+00, 3.525410718094055e+02, 1.844162569696921e+00, 2.410207613882168e+05
62, 2.968699932100000e-01, -6.000550062925582e-02, 1.011168487389767e+00, 3.524760272941992e+02, -4.349096965153542e-01, 2.411412101074274e+05
63, 2.825500071050000e-01, -5.994005483718394e-02, 1.015668849080266e+00, 3.526023417716763e+02, -2.826831702312451e+00, 2.420721772480562e+05
64, 2.684499919410000e-01, -5.977765596976551e-02, 1.020194195833871e+00, 3.527992952074530e+02, -5.339606958112077e+00, 2.430175717435768e+05
65, 2.545700073240000e-01, -5.951657836311273e-02, 1.024350986848511e+00, 3.529661196447184e+02, -7.977948944597534e+00, 2.438872942825373e+05
66, 2.409400045870000e-01, -5.915585896897953e-02, 1.028898054895804e+00, 3.531346693797863e+02, -1.075112002957142e+01, 2.448396497312215e+05
67, 2.275699973110000e-01, -5.869456802648413e-02, 1.034065673013755e+00, 3.532731915107029e+02, -1.366493998502792e+01, 2.459190486866905e+05
68, 2.144699990750000e-01, -5.813197420944613e-02, 1.039768963874820e+00, 3.533882565542572e+02, -1.672772463759191e+01, 2.471094030082331e+05
69, 2.016600072380000e-01, -5.746811193675738e-02, 1.045798636674564e+00, 3.534491945234849e+02, -1.994962121119470e+01, 2.483655568266527e+05
70, 1.891400069000000e-01, -5.670228146432130e-02, 1.052213598269378e+00, 3.534657585447603e+02, -2.334010550942222e+01, 2.497011738329913e+05
71, 1.769299954180000e-01, -5.583513598033686e-02, 1.059309259950645e+00, 3.534300980221835e+02, -2.691332082407833e+01, 2.511768596856221e+05
72, 1.650400012730000e-01, -5.486709202536137e-02, 1.067396008725048e+00, 3.533359448015615e+02, -3.068112464561871e+01, 2.528567673708479e+05
73, 1.534900069240000e-01, -5.379977779145956e-02, 1.076434093174035e+00, 3.531450333745715e+02, -3.465728148530521e+01, 2.547304872916546e+05
74, 1.422899961470000e-01, -5.263443049277360e-02, 1.086179462506737e+00, 3.528381986622172e+02, -3.885925659222099e+01, 2.567475869860786e+05
75, 1.314399987460000e-01, -5.137133628795417e-02, 1.096418892071082e+00, 3.523715288838641e+02, -4.330433012660635e+01, 2.588616577975305e+05
76, 1.209499984980000e-01, -5.001187382363489e-02, 1.107271496234312e+00, 3.517557620002575e+02, -4.801690587382951e+01, 2.611000015674604e+05
77, 1.108499988910000e-01, -4.856066993422563e-02, 1.118941209157264e+00, 3.509505664721264e+02, -5.302720225031297e+01, 2.635032049048005e+05
78, 1.011300012470000e-01, -4.701715290498424e-02, 1.131501263652827e+00, 3.498803004179518e+02, -5.835134392731096e+01, 2.660821053691840e+05
79, 9.181000292300000e-02, -4.538527151431038e-02, 1.144984396227251e+00, 3.484949895903256e+02, -6.402593664630446e+01, 2.688423550779012e+05
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.159493244671899e+00, 3.467644477891238e+02, -7.009364721065290e+01, 2.718065563579752e+05
